variant,gamut,dataset,pairs,STRESS,scale
parent,srgb,BFD-P(D65),1828,28.125718300488696,48.023221071029795
parent,srgb,BFD-P( C ),139,46.13481541717949,43.14512941109544
parent,srgb,BFD-P(M),357,31.440641792290048,44.605885262616276
parent,srgb,LEEDS,307,26.399628183074746,51.490650135334704
parent,srgb,RIT-DuPont,284,28.136831646823328,50.776267444346075
parent,srgb,WITT,416,24.298073289730997,50.53091832529408
parent,srgb,BFD-P combined,2324,29.473245028630746,46.87942075514722
parent,srgb,COMBVD weighted,3331,27.90788015671949,48.90761224225717
parent,srgb,COMBVD unweighted,3331,29.13643408398197,47.33099528789174
smooth,srgb,BFD-P(D65),1828,27.93798799047672,48.62715228375226
smooth,srgb,BFD-P( C ),139,48.06617211832761,44.892380784255984
smooth,srgb,BFD-P(M),357,31.646304988810957,44.638535698596954
smooth,srgb,LEEDS,307,26.440245736357536,51.82746081231809
smooth,srgb,RIT-DuPont,284,28.853318270490007,51.544408733906565
smooth,srgb,WITT,416,25.14250954404156,50.22489932164613
smooth,srgb,BFD-P combined,2324,29.491853513765122,47.2860292929973
smooth,srgb,COMBVD weighted,3331,28.172397712061077,49.18943811337319
smooth,srgb,COMBVD unweighted,3331,29.205419533351808,47.70561966800318
parent,full,BFD-P(D65),2028,30.286451528883862,57.09617723983316
parent,full,BFD-P( C ),200,40.822967057603094,55.27051005978704
parent,full,BFD-P(M),548,29.082161623330023,59.56674208564663
parent,full,LEEDS,307,27.480114979413163,59.866461911611154
parent,full,RIT-DuPont,312,30.52929334587111,60.527098744720725
parent,full,WITT,418,23.63843053625594,61.439023196785364
parent,full,BFD-P combined,2776,29.905077402371326,58.10036040197574
parent,full,COMBVD weighted,3813,28.607473140183526,59.248973065038044
parent,full,COMBVD unweighted,3813,29.623159822672147,58.340443856418986
smooth,full,BFD-P(D65),2028,30.709080855340197,58.59920343818825
smooth,full,BFD-P( C ),200,41.521817495210215,56.41060306069458
smooth,full,BFD-P(M),548,29.75228488548914,60.63357443490528
smooth,full,LEEDS,307,27.435046760330383,61.404404607135646
smooth,full,RIT-DuPont,312,31.06460734606045,62.797192112623314
smooth,full,WITT,418,23.634654491488334,62.298454565506745
smooth,full,BFD-P combined,2776,30.409001347821686,59.430090140134105
smooth,full,COMBVD weighted,3813,28.955306539233305,60.626131520034704
smooth,full,COMBVD unweighted,3813,30.093634172735474,59.674803988569984
