ptID,chroma of reference (DT units),quadrant of reference,chroma of test (DT units),quadrant of test
01,3.24,1,2.68,4
01,3.24,4,3.26,1
01,6.48,1,5.62,4
01,6.48,4,9.15,1
01,9.18,1,7.29,4
01,9.18,4,12.45,1
08,3.24,1,2.67,4
08,3.24,4,3.61,1
08,6.48,1,5.43,4
08,6.48,4,7.50,1
08,9.18,1,8.15,4
08,9.18,4,9.89,1
F01,3.24,1,3.78,4
F01,3.24,4,2.86,1
F01,6.48,1,7.04,4
F01,6.48,4,5.41,1
F01,9.18,1,10.66,4
F01,9.18,4,8.57,1
05,3.24,1,4.13,4
05,3.24,4,2.72,1
05,6.48,1,6.97,4
05,6.48,4,6.13,1
05,9.18,1,10.70,4
05,9.18,4,8.35,1
09,3.24,1,5.37,4
09,3.24,4,2.61,1
09,6.48,1,6.61,4
09,6.48,4,6.02,1
09,9.18,1,8.28,4
09,9.18,4,11.58,1
F02,3.24,1,5.48,4
F02,3.24,4,1.95,1
F02,6.48,1,8.43,4
F02,6.48,4,5.20,1
F02,9.18,1,11.76,4
F02,9.18,4,7.48,1
04,3.24,1,4.02,4
04,3.24,4,2.62,1
04,6.48,1,8.31,4
04,6.48,4,5.02,1
04,9.18,1,10.29,4
04,9.18,4,8.16,1
07,3.24,1,2.61,4
07,3.24,4,3.59,1
07,6.48,1,5.79,4
07,6.48,4,7.26,1
07,9.18,1,8.67,4
07,9.18,4,11.65,1
107,3.24,1,3.36,4
107,3.24,4,3.09,1
107,6.48,1,6.86,4
107,6.48,4,5.99,1
107,9.18,1,9.37,4
107,9.18,4,8.93,1
F04,3.24,1,4.52,4
F04,3.24,4,2.63,1
F04,6.48,1,8.92,4
F04,6.48,4,4.86,1
F04,9.18,1,11.59,4
F04,9.18,4,8.64,1
F06,3.24,1,3.51,4
F06,3.24,4,2.99,1
F06,6.48,1,7.41,4
F06,6.48,4,4.67,1
F06,9.18,1,11.10,4
F06,9.18,4,7.28,1
F07,3.24,1,4.34,4
F07,3.24,4,2.49,1
F07,6.48,1,7.20,4
F07,6.48,4,5.78,1
F07,9.18,1,9.20,4
F07,9.18,4,9.63,1
F08,3.24,1,3.79,4
F08,3.24,4,2.53,1
F08,6.48,1,7.34,4
F08,6.48,4,5.53,1
F08,9.18,1,11.15,4
F08,9.18,4,7.30,1
F09,3.24,1,4.32,4
F09,3.24,4,3.02,1
F09,6.48,1,6.05,4
F09,6.48,4,5.57,1
F09,9.18,1,8.99,4
F09,9.18,4,10.02,1
F10,3.24,1,3.27,4
F10,3.24,4,3.30,1
F10,6.48,1,6.76,4
F10,6.48,4,6.10,1
F10,9.18,1,9.20,4
F10,9.18,4,8.79,1
F11,3.24,1,4.23,4
F11,3.24,4,2.66,1
F11,6.48,1,7.81,4
F11,6.48,4,5.81,1
F11,9.18,1,10.75,4
F11,9.18,4,7.69,1
