ptID,JND (arbitrary DKL units),angle
1,0.0095,0
1,0.0121,45
1,0.0269,90
1,0.0163,135
1,0.0107,180
1,0.0154,225
1,0.0262,270
1,0.0168,315
2,0.0166,0
2,0.0150,45
2,0.0352,90
2,0.0199,135
2,0.0141,180
2,0.0174,225
2,0.0385,270
2,0.0207,315
3,0.0125,0
3,0.0184,45
3,0.0621,90
3,0.0205,135
3,0.0149,180
3,0.0192,225
3,0.0782,270
3,0.0219,315
4,0.0405,0
4,0.0534,45
4,0.0633,90
4,0.0303,135
4,0.0300,180
4,0.0322,225
4,0.0630,270
4,0.0517,315
5,0.0196,0
5,0.0278,45
5,0.0648,90
5,0.0218,135
5,0.0169,180
5,0.0184,225
5,0.0836,270
5,0.0332,315
