ptID,JND (DT units),chroma radius,quadrant,color dimension,direction
01,1.1537,3.24,1,hue,cw
01,1.2984,3.24,1,hue,ccw
01,1.2559,3.24,1,chroma,increasing
01,1.6278,3.24,1,chroma,decreasing
01,0.7085,3.24,4,hue,ccw
01,0.7478,3.24,4,hue,cw
01,0.9964,3.24,4,chroma,increasing
01,1.3141,3.24,4,chroma,decreasing
01,1.6657,6.48,1,hue,cw
01,2.2346,6.48,1,hue,ccw
01,1.9859,6.48,1,chroma,increasing
01,1.8777,6.48,1,chroma,decreasing
01,1.2130,6.48,4,hue,ccw
01,1.2387,6.48,4,hue,cw
01,1.4716,6.48,4,chroma,increasing
01,1.9451,6.48,4,chroma,decreasing
01,2.4629,9.18,1,hue,cw
01,1.9988,9.18,1,hue,ccw
01,2.2305,9.18,1,chroma,increasing
01,2.5946,9.18,1,chroma,decreasing
01,1.0789,9.18,4,hue,ccw
01,1.4483,9.18,4,hue,cw
01,2.3292,9.18,4,chroma,increasing
01,2.0998,9.18,4,chroma,decreasing
08,1.0981,3.24,1,hue,cw
08,1.0390,3.24,1,hue,ccw
08,1.0354,3.24,1,chroma,increasing
08,1.4044,3.24,1,chroma,decreasing
08,0.6217,3.24,4,hue,ccw
08,0.9118,3.24,4,hue,cw
08,1.3848,3.24,4,chroma,increasing
08,1.2415,3.24,4,chroma,decreasing
08,2.0781,6.48,1,hue,cw
08,2.2641,6.48,1,hue,ccw
08,2.0855,6.48,1,chroma,increasing
08,1.9300,6.48,1,chroma,decreasing
08,1.0928,6.48,4,hue,ccw
08,1.4439,6.48,4,hue,cw
08,0.8477,6.48,4,chroma,increasing
08,1.7438,6.48,4,chroma,decreasing
08,2.7236,9.18,1,hue,cw
08,1.8608,9.18,1,hue,ccw
08,2.1287,9.18,1,chroma,increasing
08,1.7412,9.18,1,chroma,decreasing
08,0.8736,9.18,4,hue,ccw
08,1.6901,9.18,4,hue,cw
08,1.6062,9.18,4,chroma,increasing
08,1.4246,9.18,4,chroma,decreasing
F01,1.2083,3.24,1,hue,cw
F01,1.3765,3.24,1,hue,ccw
F01,1.2602,3.24,1,chroma,increasing
F01,1.1925,3.24,1,chroma,decreasing
F01,0.8135,3.24,4,hue,ccw
F01,0.8180,3.24,4,hue,cw
F01,1.2495,3.24,4,chroma,increasing
F01,1.4571,3.24,4,chroma,decreasing
F01,1.7044,6.48,1,hue,cw
F01,1.9764,6.48,1,hue,ccw
F01,1.9014,6.48,1,chroma,increasing
F01,1.5168,6.48,1,chroma,decreasing
F01,1.5341,6.48,4,hue,ccw
F01,1.1628,6.48,4,hue,cw
F01,1.8115,6.48,4,chroma,increasing
F01,1.3883,6.48,4,chroma,decreasing
F01,2.6849,9.18,1,hue,cw
F01,2.6962,9.18,1,hue,ccw
F01,2.6533,9.18,1,chroma,increasing
F01,2.4101,9.18,1,chroma,decreasing
F01,1.7916,9.18,4,hue,ccw
F01,1.5318,9.18,4,hue,cw
F01,2.8412,9.18,4,chroma,increasing
F01,1.9727,9.18,4,chroma,decreasing
05,1.0303,3.24,1,hue,cw
05,1.0912,3.24,1,hue,ccw
05,1.7727,3.24,1,chroma,increasing
05,1.2878,3.24,1,chroma,decreasing
05,0.7708,3.24,4,hue,ccw
05,0.9664,3.24,4,hue,cw
05,1.3495,3.24,4,chroma,increasing
05,0.9977,3.24,4,chroma,decreasing
05,1.2331,6.48,1,hue,cw
05,2.2706,6.48,1,hue,ccw
05,2.1051,6.48,1,chroma,increasing
05,2.3761,6.48,1,chroma,decreasing
05,0.8306,6.48,4,hue,ccw
05,0.9822,6.48,4,hue,cw
05,1.0292,6.48,4,chroma,increasing
05,1.6612,6.48,4,chroma,decreasing
05,1.7871,9.18,1,hue,cw
05,2.8019,9.18,1,hue,ccw
05,2.0909,9.18,1,chroma,increasing
05,2.7820,9.18,1,chroma,decreasing
05,1.2491,9.18,4,hue,ccw
05,1.6795,9.18,4,hue,cw
05,2.0640,9.18,4,chroma,increasing
05,1.8029,9.18,4,chroma,decreasing
09,0.9336,3.24,1,hue,cw
09,0.8687,3.24,1,hue,ccw
09,0.8727,3.24,1,chroma,increasing
09,1.0627,3.24,1,chroma,decreasing
09,0.8293,3.24,4,hue,ccw
09,0.6870,3.24,4,hue,cw
09,1.1833,3.24,4,chroma,increasing
09,1.3700,3.24,4,chroma,decreasing
09,1.5844,6.48,1,hue,cw
09,2.0776,6.48,1,hue,ccw
09,1.6535,6.48,1,chroma,increasing
09,2.3788,6.48,1,chroma,decreasing
09,0.8858,6.48,4,hue,ccw
09,0.7819,6.48,4,hue,cw
09,1.8726,6.48,4,chroma,increasing
09,1.9273,6.48,4,chroma,decreasing
09,2.2380,9.18,1,hue,cw
09,2.1665,9.18,1,hue,ccw
09,2.1209,9.18,1,chroma,increasing
09,2.9505,9.18,1,chroma,decreasing
09,0.7633,9.18,4,hue,ccw
09,1.1927,9.18,4,hue,cw
09,2.0067,9.18,4,chroma,increasing
09,2.0513,9.18,4,chroma,decreasing
F02,1.1197,3.24,1,hue,cw
F02,1.5280,3.24,1,hue,ccw
F02,1.3676,3.24,1,chroma,increasing
F02,1.3690,3.24,1,chroma,decreasing
F02,0.4970,3.24,4,hue,ccw
F02,0.7354,3.24,4,hue,cw
F02,1.5027,3.24,4,chroma,increasing
F02,1.2332,3.24,4,chroma,decreasing
F02,1.4783,6.48,1,hue,cw
F02,2.2634,6.48,1,hue,ccw
F02,0.9176,6.48,1,chroma,increasing
F02,1.3690,6.48,1,chroma,decreasing
F02,0.8261,6.48,4,hue,ccw
F02,1.0947,6.48,4,hue,cw
F02,1.9148,6.48,4,chroma,increasing
F02,1.3556,6.48,4,chroma,decreasing
F02,1.7953,9.18,1,hue,cw
F02,2.1842,9.18,1,hue,ccw
F02,2.2543,9.18,1,chroma,increasing
F02,2.2072,9.18,1,chroma,decreasing
F02,1.0202,9.18,4,hue,ccw
F02,0.9698,9.18,4,hue,cw
F02,2.6350,9.18,4,chroma,increasing
F02,1.4101,9.18,4,chroma,decreasing
04,0.9140,3.24,1,hue,cw
04,1.9438,3.24,1,hue,ccw
04,0.9943,3.24,1,chroma,increasing
04,1.5576,3.24,1,chroma,decreasing
04,0.4929,3.24,4,hue,ccw
04,1.0642,3.24,4,hue,cw
04,0.8209,3.24,4,chroma,increasing
04,2.0770,3.24,4,chroma,decreasing
04,1.1010,6.48,1,hue,cw
04,2.0103,6.48,1,hue,ccw
04,1.4473,6.48,1,chroma,increasing
04,1.8478,6.48,1,chroma,decreasing
04,0.6081,6.48,4,hue,ccw
04,1.3413,6.48,4,hue,cw
04,1.9720,6.48,4,chroma,increasing
04,2.0208,6.48,4,chroma,decreasing
04,1.5521,9.18,1,hue,cw
04,2.3595,9.18,1,hue,ccw
04,2.7110,9.18,1,chroma,increasing
04,1.8594,9.18,1,chroma,decreasing
04,0.8040,9.18,4,hue,ccw
04,1.3567,9.18,4,hue,cw
04,1.4864,9.18,4,chroma,increasing
04,1.7126,9.18,4,chroma,decreasing
07,1.0562,3.24,1,hue,cw
07,1.3771,3.24,1,hue,ccw
07,1.2668,3.24,1,chroma,increasing
07,1.9910,3.24,1,chroma,decreasing
07,0.9927,3.24,4,hue,ccw
07,0.8816,3.24,4,hue,cw
07,1.0232,3.24,4,chroma,increasing
07,1.2641,3.24,4,chroma,decreasing
07,1.5868,6.48,1,hue,cw
07,1.2506,6.48,1,hue,ccw
07,0.9442,6.48,1,chroma,increasing
07,2.1903,6.48,1,chroma,decreasing
07,1.1398,6.48,4,hue,ccw
07,0.8579,6.48,4,hue,cw
07,0.7739,6.48,4,chroma,increasing
07,2.1991,6.48,4,chroma,decreasing
07,2.0069,9.18,1,hue,cw
07,1.6291,9.18,1,hue,ccw
07,1.4316,9.18,1,chroma,increasing
07,1.9039,9.18,1,chroma,decreasing
07,1.3845,9.18,4,hue,ccw
07,0.7572,9.18,4,hue,cw
07,1.4737,9.18,4,chroma,increasing
07,1.9379,9.18,4,chroma,decreasing
107,0.8937,3.24,1,hue,cw
107,0.9162,3.24,1,hue,ccw
107,1.5150,3.24,1,chroma,increasing
107,1.1820,3.24,1,chroma,decreasing
107,0.6726,3.24,4,hue,ccw
107,0.6882,3.24,4,hue,cw
107,1.1030,3.24,4,chroma,increasing
107,1.4468,3.24,4,chroma,decreasing
107,2.2052,6.48,1,hue,cw
107,1.8224,6.48,1,hue,ccw
107,2.1311,6.48,1,chroma,increasing
107,1.4357,6.48,1,chroma,decreasing
107,0.9865,6.48,4,hue,ccw
107,0.8095,6.48,4,hue,cw
107,1.3389,6.48,4,chroma,increasing
107,1.7962,6.48,4,chroma,decreasing
107,2.3452,9.18,1,hue,cw
107,1.7376,9.18,1,hue,ccw
107,2.1143,9.18,1,chroma,increasing
107,1.8723,9.18,1,chroma,decreasing
107,1.0048,9.18,4,hue,ccw
107,0.7570,9.18,4,hue,cw
107,1.3527,9.18,4,chroma,increasing
107,1.6680,9.18,4,chroma,decreasing
F04,1.7042,3.24,1,hue,cw
F04,1.4649,3.24,1,hue,ccw
F04,2.2543,3.24,1,chroma,increasing
F04,1.3899,3.24,1,chroma,decreasing
F04,1.0983,3.24,4,hue,ccw
F04,1.2269,3.24,4,hue,cw
F04,1.5448,3.24,4,chroma,increasing
F04,2.4612,3.24,4,chroma,decreasing
F04,1.4744,6.48,1,hue,cw
