model,board,dataset,score,mapped_points,rejected_points,exact_input_support
parent-srgb,generation,hung_berns,3.73161682574252,78,0,False
parent-srgb,generation,ebner_fairchild,2.2426488468207717,70,0,False
parent-srgb,generation,munsell,4.116543479352506,1232,0,False
parent-srgb,generation,xiao_unique_hues,1.7425659709829548,0,0,True
parent-srgb,generation,osa_ucs_1974,0.27485595962527076,19,0,False
parent-srgb,measurement,macadam1942,0.3302741532436126,300,0,False
parent-srgb,measurement,luo_rigg_ellipses,0.3049798927389679,605,0,False
parent-srgb,measurement,alder1982,0.32143041779808995,364,0,False
parent-srgb,measurement,regan_1994_cvd_ellipses,0.21437983456022866,8,0,False
parent-srgb,measurement,koenderink_2026_3d_metric_field,0.31851267616622664,0,0,True
parent-srgb,measurement,brown_1957_12obs_ellipsoids,0.48106302477222396,396,0,False
parent-srgb,measurement,wyszecki_fielder_1971_ellipsoids,0.33204600073809953,278,0,False
parent-srgb,measurement,brown_macadam_1949_ellipsoids,0.46810179557906445,1045,0,False
parent-srgb,measurement,huang_2012_cielab_ellipses,0.33648349995331867,34,0,False
parent-srgb,measurement,berns_1991_rit_dupont_tolerance_vectors,0.3620351385059938,16,0,False
parent-srgb,measurement,hong_2025_ellipsoids,0.26247164764123604,0,0,True
parent-srgb,measurement,bfd,39.350560091720105,843,0,False
parent-srgb,measurement,leeds,27.834159661369007,0,0,True
parent-srgb,measurement,witt,23.908647631813544,4,0,False
parent-srgb,measurement,rit,33.6497392368034,51,0,False
parent-srgb,measurement,macadam,27.933297188709606,3,0,False
boundary-srgb,generation,hung_berns,3.73161682574252,78,0,False
boundary-srgb,generation,ebner_fairchild,2.2426488468207717,70,0,False
boundary-srgb,generation,munsell,4.116543479352506,1232,0,False
boundary-srgb,generation,xiao_unique_hues,1.7425659709829548,0,0,True
boundary-srgb,generation,osa_ucs_1974,0.27485595962527076,19,0,False
boundary-srgb,measurement,macadam1942,0.3302741532436126,300,0,False
boundary-srgb,measurement,luo_rigg_ellipses,0.3049798927389679,605,0,False
boundary-srgb,measurement,alder1982,0.32143041779808995,364,0,False
boundary-srgb,measurement,regan_1994_cvd_ellipses,0.21437983456022866,8,0,False
boundary-srgb,measurement,koenderink_2026_3d_metric_field,0.31851267616622664,0,0,True
