model,board,dataset,value,complete_support,inputs,rejected
parent-full,generation,hung_berns,,False,156,18
parent-full,generation,ebner_fairchild,2.24286889470537,True,306,0
parent-full,generation,munsell,3.816220064243416,True,2734,0
parent-full,generation,xiao_unique_hues,1.7425659709829744,True,36,0
parent-full,generation,osa_ucs_1974,0.3093228921780851,True,558,0
parent-full,measurement,macadam1942,0.3446324542915482,False,625,36
parent-full,measurement,luo_rigg_ellipses,0.2879025530594902,False,3300,3
parent-full,measurement,alder1982,0.3140551845895371,False,2025,35
parent-full,measurement,regan_1994_cvd_ellipses,0.30337111239527553,True,375,0
parent-full,measurement,koenderink_2026_3d_metric_field,0.38934661506492096,True,945,0
parent-full,measurement,brown_1957_12obs_ellipsoids,,False,567,241
parent-full,measurement,wyszecki_fielder_1971_ellipsoids,0.3691046850622769,False,2268,41
parent-full,measurement,brown_macadam_1949_ellipsoids,0.36752793237347764,False,1836,566
parent-full,measurement,huang_2012_cielab_ellipses,0.2913468490867156,True,459,0
parent-full,measurement,berns_1991_rit_dupont_tolerance_vectors,0.40073857930860773,True,175,0
parent-full,measurement,hong_2025_ellipsoids,0.28380910089966904,True,11037,0
parent-full,measurement,bfd,29.89981563206698,True,2776,0
parent-full,measurement,leeds,27.36416199277579,True,307,0
parent-full,measurement,witt,23.52094977744083,True,418,0
parent-full,measurement,rit,30.503707016002124,True,312,0
parent-full,measurement,macadam,32.806408798480476,True,256,0
parent-srgb,generation,hung_berns,,False,156,78
parent-srgb,generation,ebner_fairchild,,False,306,70
parent-srgb,generation,munsell,,False,2734,1232
parent-srgb,generation,xiao_unique_hues,1.7425659709829548,True,36,0
parent-srgb,generation,osa_ucs_1974,0.25373863660146084,False,558,19
parent-srgb,measurement,macadam1942,0.34585411074770167,False,625,300
parent-srgb,measurement,luo_rigg_ellipses,0.2685617047705754,False,3300,605
parent-srgb,measurement,alder1982,0.2741905618522675,False,2025,364
parent-srgb,measurement,regan_1994_cvd_ellipses,0.336564817127355,False,375,8
parent-srgb,measurement,koenderink_2026_3d_metric_field,0.36554391654419294,True,945,0
parent-srgb,measurement,brown_1957_12obs_ellipsoids,,False,567,396
parent-srgb,measurement,wyszecki_fielder_1971_ellipsoids,0.32092188723526266,False,2268,278
parent-srgb,measurement,brown_macadam_1949_ellipsoids,,False,1836,1045
parent-srgb,measurement,huang_2012_cielab_ellipses,0.31178125656500705,False,459,34
parent-srgb,measurement,berns_1991_rit_dupont_tolerance_vectors,0.35221982655195133,False,175,16
parent-srgb,measurement,hong_2025_ellipsoids,0.2558687280210794,True,11037,0
parent-srgb,measurement,bfd,29.481315867618445,False,2776,452
parent-srgb,measurement,leeds,26.395035172385466,True,307,0
parent-srgb,measurement,witt,24.270943296983535,False,418,2
parent-srgb,measurement,rit,28.131771535193824,False,312,28
parent-srgb,measurement,macadam,26.574750551104103,False,256,3
smooth-full,generation,hung_berns,,False,156,18
smooth-full,generation,ebner_fairchild,2.2428688947053694,True,306,0
smooth-full,generation,munsell,3.816220064243416,True,2734,0
smooth-full,generation,xiao_unique_hues,1.7425659709829748,True,36,0
smooth-full,generation,osa_ucs_1974,0.31483313482082304,True,558,0
smooth-full,measurement,macadam1942,0.3347667216054144,False,625,36
smooth-full,measurement,luo_rigg_ellipses,0.27590617084601193,False,3300,3
smooth-full,measurement,alder1982,0.31209091995357596,False,2025,35
smooth-full,measurement,regan_1994_cvd_ellipses,0.252211803295073,True,375,0
smooth-full,measurement,koenderink_2026_3d_metric_field,0.37406414825100587,True,945,0
smooth-full,measurement,brown_1957_12obs_ellipsoids,,False,567,241
smooth-full,measurement,wyszecki_fielder_1971_ellipsoids,0.35906494752612883,False,2268,41
smooth-full,measurement,brown_macadam_1949_ellipsoids,0.3348893614699139,False,1836,566
smooth-full,measurement,huang_2012_cielab_ellipses,0.306890237414537,True,459,0
smooth-full,measurement,berns_1991_rit_dupont_tolerance_vectors,0.40212658563566955,True,175,0
smooth-full,measurement,hong_2025_ellipsoids,0.2879164292711873,True,11037,0
smooth-full,measurement,bfd,30.405726150837065,True,2776,0
smooth-full,measurement,leeds,27.368793926606962,True,307,0
smooth-full,measurement,witt,23.503637837145973,True,418,0
smooth-full,measurement,rit,31.03680451605359,True,312,0
smooth-full,measurement,macadam,31.914424593956515,True,256,0
smooth-srgb,generation,hung_berns,,False,156,78
smooth-srgb,generation,ebner_fairchild,,False,306,70
smooth-srgb,generation,munsell,,False,2734,1232
smooth-srgb,generation,xiao_unique_hues,1.7425659709829548,True,36,0
smooth-srgb,generation,osa_ucs_1974,0.23844223600929118,False,558,19
smooth-srgb,measurement,macadam1942,0.3133564927914757,False,625,300
smooth-srgb,measurement,luo_rigg_ellipses,0.24998790506477175,False,3300,605
smooth-srgb,measurement,alder1982,0.24571848561384477,False,2025,364
smooth-srgb,measurement,regan_1994_cvd_ellipses,0.2635384184067998,False,375,8
smooth-srgb,measurement,koenderink_2026_3d_metric_field,0.33290029739816285,True,945,0
smooth-srgb,measurement,brown_1957_12obs_ellipsoids,,False,567,396
smooth-srgb,measurement,wyszecki_fielder_1971_ellipsoids,0.3079895740889058,False,2268,278
smooth-srgb,measurement,brown_macadam_1949_ellipsoids,,False,1836,1045
smooth-srgb,measurement,huang_2012_cielab_ellipses,0.30085025749216865,False,459,34
smooth-srgb,measurement,berns_1991_rit_dupont_tolerance_vectors,0.3416049121126861,False,175,16
