experiment,background,standard,direction,n,empirical_logistic_pse,predicted_pse,logistic_scale
1,10.0,1,1,600,0.7502859797170458,0.6643644857180773,0.17780478480137088
1,10.0,1,2,600,0.7028215402343384,0.7771096209066923,0.06137273388476023
1,10.0,1,3,600,0.7742745555511954,0.9200300888277215,0.09644933287373557
1,10.0,1,4,600,0.8316085305723315,0.8868146321035726,0.15947325542527074
1,10.0,1,5,600,0.37390611028804593,0.4977877149749069,0.048676214837128536
1,10.0,1,6,600,0.7037014122227389,1.0,0.07438983644194685
1,10.0,1,7,600,0.6771075671949454,0.6784545880652291,0.06291222393032712
1,10.0,1,8,600,0.41447609923163425,0.3994774706380686,0.03528983724876159
1,10.0,1,9,600,0.5007363387793347,0.49267763899919403,0.02669591143738454
1,10.0,1,10,600,0.5268470962751378,0.5361305131208478,0.0277883829092569
1,10.0,2,1,600,0.49915953641262406,0.47292123906899974,0.13270268467763152
1,10.0,2,2,600,0.5595150992495839,0.5374085024647899,0.060789790436540744
1,10.0,2,3,600,0.616980728798493,0.6155200969497159,0.053705334803948124
1,10.0,2,4,600,0.5765499182916168,0.5720820588716937,0.0418293282644399
1,10.0,2,5,600,0.279144928535216,0.3044239051649926,0.028590210370045395
1,10.0,2,6,600,0.592400598819498,0.6679316966355817,0.061209964411974495
1,10.0,2,7,600,0.5517969826206668,0.4456623012858344,0.08302191276594292
1,10.0,2,8,600,0.3294843143677919,0.27049577323232865,0.05915235473225574
1,10.0,2,9,600,0.387149012787291,0.3411183878996501,0.05449388419842584
1,10.0,2,10,600,0.41634342403343866,0.3776943433393628,0.06329761822547891
1,10.0,3,1,600,0.3249230668525171,0.3409034148954919,0.15815763448114098
1,10.0,3,2,600,0.40848463619501746,0.3799203448156653,0.10053627077887559
1,10.0,3,3,600,0.4625125776338567,0.42602373110497904,0.08133306708234449
1,10.0,3,4,600,0.4183238789088376,0.38733913934070086,0.08275838027754406
1,10.0,3,5,600,0.21643271636897968,0.200011268761715,0.023541668606341704
1,10.0,3,6,600,0.48193118545811653,0.440463026113029,0.03543775376357079
1,10.0,3,7,600,0.39962367122992815,0.30501385320226637,0.09193396125245135
1,10.0,3,8,600,0.23589734187367734,0.1886415975480918,0.06459635944974794
1,10.0,3,9,600,0.2712589728706057,0.2413432506180611,0.08749559080214982
1,10.0,3,10,600,0.28717411300879864,0.2703325552367303,0.08522398493716903
1,45.0,1,1,600,0.5131289716230719,0.5289520534083261,0.060625940184591096
1,45.0,1,2,600,0.5227341667633686,0.5149295655051067,0.06777888515137881
1,45.0,1,3,600,0.5461654501755665,0.5668372046898125,0.08911390886492979
1,45.0,1,4,600,0.4844242728836432,0.5159388651204251,0.079550083473993
1,45.0,1,5,600,0.23017726020008397,0.27168635927934615,0.04379007345516153
1,45.0,1,6,600,0.5806894363338059,0.6805433586944132,0.0938471221579927
1,45.0,1,7,600,0.5908450427179739,0.5881416194664315,0.07292827380651255
1,45.0,1,8,600,0.40098671307576916,0.38580554503834374,0.04029001945465886
1,45.0,1,9,600,0.5078450964095905,0.4945527121102129,0.01980149822512904
1,45.0,1,10,600,0.5223447642567011,0.5215866739092938,0.03334432026788629
1,45.0,2,1,600,0.672855018715721,0.5741671989823689,0.15866629832293505
1,45.0,2,2,600,0.6071044142687041,0.5633220377952655,0.12012662993832357
1,45.0,2,3,600,0.6215694664748541,0.6241779470514517,0.05581290709963742
1,45.0,2,4,600,0.5897689563074394,0.5718938518567191,0.03818314156168362
1,45.0,2,5,600,0.29646315978865756,0.3039290237553002,0.06056033380422647
1,45.0,2,6,600,0.7156566096396784,0.7621239158120281,0.12194754200345363
1,45.0,2,7,600,0.7169239403258656,0.6510991081581239,0.1339306314774705
1,45.0,2,8,600,0.46653108445472546,0.4235586440222172,0.09913240209209974
1,45.0,2,9,600,0.5759256252336785,0.5392922639732038,0.08037752364877254
1,45.0,2,10,600,0.6173482766416063,0.5661404296385062,0.10284794263243775
1,45.0,3,1,600,0.4355929743610231,0.3913795686001448,0.07734032307948978
1,45.0,3,2,600,0.4574893005562373,0.37220680104694936,0.0703196549490943
1,45.0,3,3,600,0.4450876555723975,0.40199634479492363,0.06994538708989416
1,45.0,3,4,600,0.36570844830439114,0.359106796584714,0.0747246428087785
1,45.0,3,5,600,0.16639318843383788,0.18437801391144026,0.03055973543092175
1,45.0,3,6,600,0.5025183555740147,0.4605101747651057,0.05245050777338605
1,45.0,3,7,600,0.5271577635983885,0.4108262568312002,0.07823437416579863
1,45.0,3,8,600,0.36545084516542053,0.275997875801518,0.09229651315118152
1,45.0,3,9,600,0.4336416174452075,0.36090798998458595,0.06653491857654222
1,45.0,3,10,600,0.4614643910546177,0.38599576650376843,0.09233065929330372
2,50.0,1,1,720,0.8239321749413696,0.6790338498117521,0.25485371930451395
2,50.0,1,2,720,0.5911486823887061,0.5506030950469893,0.08184305692153471
2,50.0,1,3,720,0.6271223612192796,0.6222968240772817,0.07001113855576585
2,50.0,1,4,720,0.6388423422513992,0.5732973594974793,0.09113060580431707
