observer,retinal_illuminance_Td,hue,Pe,x_JV,y_JV
TN,10,RB,1.0,0.212,0.031
TN,10,B,1.0,0.132,0.058
TN,10,GB,1.0,0.041,0.325
TN,10,G,1.0,0.013,0.496
TN,10,GY,1.0,0.267,0.723
TN,10,Y,1.0,0.486,0.513
TN,10,RY,1.0,0.596,0.403
TN,10,R,1.0,0.501,0.116
TN,10,RB,0.9,0.216,0.057
TN,10,B,0.9,0.147,0.093
TN,10,GB,0.9,0.073,0.317
TN,10,G,0.9,0.047,0.479
TN,10,GY,0.9,0.27,0.686
TN,10,Y,0.9,0.473,0.492
TN,10,RY,0.9,0.577,0.389
TN,10,R,0.9,0.426,0.155
TN,10,RB,0.8,0.226,0.086
TN,10,B,0.8,0.165,0.127
TN,10,GB,0.8,0.106,0.3
TN,10,G,0.8,0.082,0.439
TN,10,GY,0.8,0.263,0.659
TN,10,Y,0.8,0.456,0.476
TN,10,RY,0.8,0.555,0.377
TN,10,R,0.8,0.395,0.166
TN,10,RB,0.7,0.222,0.109
TN,10,B,0.7,0.183,0.158
TN,10,GB,0.7,0.131,0.316
TN,10,G,0.7,0.116,0.419
TN,10,GY,0.7,0.258,0.629
TN,10,Y,0.7,0.442,0.457
TN,10,RY,0.7,0.539,0.36
TN,10,R,0.7,0.375,0.18
TN,10,RB,0.6,0.236,0.142
TN,10,B,0.6,0.201,0.19
TN,10,GB,0.6,0.161,0.317
TN,10,G,0.6,0.151,0.377
TN,10,GY,0.6,0.255,0.597
TN,10,Y,0.6,0.427,0.439
TN,10,RY,0.6,0.518,0.348
TN,10,R,0.6,0.356,0.196
TN,10,RB,0.5,0.248,0.177
TN,10,B,0.5,0.222,0.217
TN,10,GB,0.5,0.188,0.327
TN,10,G,0.5,0.181,0.374
TN,10,GY,0.5,0.251,0.564
TN,10,Y,0.5,0.411,0.421
TN,10,RY,0.5,0.499,0.333
TN,10,R,0.5,0.354,0.219
TN,10,RB,0.4,0.263,0.21
TN,10,B,0.4,0.243,0.244
TN,10,GB,0.4,0.217,0.332
TN,10,G,0.4,0.213,0.35
TN,10,GY,0.4,0.235,0.532
TN,10,Y,0.4,0.394,0.405
TN,10,RY,0.4,0.482,0.318
TN,10,R,0.4,0.344,0.24
TN,10,RB,0.3,0.28,0.245
TN,10,B,0.3,0.267,0.263
TN,10,GB,0.3,0.242,0.358
TN,10,G,0.3,0.343,0.351
TN,10,GY,0.3,0.234,0.466
TN,10,Y,0.3,0.378,0.388
TN,10,RY,0.3,0.451,0.316
TN,10,R,0.3,0.343,0.265
TN,10,RB,0.2,0.298,0.271
TN,10,B,0.2,0.286,0.294
TN,10,G,0.2,0.27,0.362
TN,10,Y,0.2,0.365,0.369
TN,10,RY,0.2,0.41,0.323
TN,100,RB,1.0,0.205,0.027
TN,100,B,1.0,0.101,0.12
TN,100,GB,1.0,0.041,0.325
TN,100,G,1.0,0.02,0.445
TN,100,GY,1.0,0.238,0.747
TN,100,Y,1.0,0.472,0.527
TN,100,RY,1.0,0.657,0.343
TN,100,R,1.0,0.569,0.198
TN,100,RB,0.9,0.232,0.065
TN,100,B,0.9,0.116,0.163
TN,100,GB,0.9,0.075,0.307
TN,100,G,0.9,0.056,0.419
TN,100,GY,0.9,0.234,0.716
TN,100,Y,0.9,0.459,0.506
TN,100,RY,0.9,0.63,0.337
TN,100,R,0.9,0.509,0.194
TN,100,RB,0.8,0.252,0.098
TN,100,B,0.8,0.136,0.195
TN,100,GB,0.8,0.106,0.3
TN,100,G,0.8,0.091,0.395
TN,100,GY,0.8,0.232,0.682
TN,100,Y,0.8,0.447,0.486
TN,100,RY,0.8,0.605,0.328
TN,100,R,0.8,0.461,0.197
TN,100,RB,0.7,0.247,0.12
TN,100,B,0.7,0.157,0.255
TN,100,GB,0.7,0.138,0.292
TN,100,G,0.7,0.119,0.394
TN,100,GY,0.7,0.236,0.645
TN,100,Y,0.7,0.432,0.467
TN,100,RY,0.7,0.575,0.325
TN,100,R,0.7,0.426,0.205
TN,100,RB,0.6,0.249,0.146
TN,100,B,0.6,0.181,0.247
TN,100,GB,0.6,0.166,0.297
TN,100,G,0.6,0.151,0.377
TN,100,GY,0.6,0.224,0.618
TN,100,Y,0.6,0.415,0.451
TN,100,RY,0.6,0.553,0.313
TN,100,R,0.6,0.403,0.219
TN,100,RB,0.5,0.256,0.175
TN,100,B,0.5,0.204,0.267
TN,100,GB,0.5,0.194,0.302
TN,100,G,0.5,0.181,0.374
TN,100,GY,0.5,0.227,0.575
TN,100,Y,0.5,0.399,0.433
TN,100,RY,0.5,0.526,0.307
TN,100,R,0.5,0.397,0.239
TN,100,RB,0.4,0.269,0.205
TN,100,B,0.4,0.227,0.289
TN,100,GB,0.4,0.222,0.312
TN,100,G,0.4,0.211,0.37
TN,100,GY,0.4,0.229,0.528
TN,100,Y,0.4,0.385,0.414
TN,100,RY,0.4,0.491,0.309
TN,100,R,0.4,0.382,0.259
TN,100,RB,0.3,0.284,0.239
TN,100,B,0.3,0.25,0.316
TN,100,GB,0.3,0.249,0.318
TN,100,G,0.3,0.238,0.38
TN,100,GY,0.3,0.245,0.47
TN,100,Y,0.3,0.368,0.398
TN,100,RY,0.3,0.451,0.316
TN,100,R,0.3,0.373,0.278
TN,100,RB,0.2,0.301,0.271
TN,100,B,0.2,0.276,0.326
TN,100,GB,0.2,0.276,0.324
TN,100,G,0.2,0.269,0.392
TN,100,Y,0.2,0.354,0.379
TN,100,RY,0.2,0.411,0.321
TN,100,R,0.2,0.367,0.3
TN,100,Y,0.1,0.337,0.362
TN,1000,RB,1.0,0.212,0.031
TN,1000,B,1.0,0.129,0.062
TN,1000,GB,1.0,0.037,0.348
TN,1000,G,1.0,0.032,0.372
TN,1000,GY,1.0,0.216,0.764
TN,1000,Y,1.0,0.445,0.554
TN,1000,RY,1.0,0.663,0.336
TN,1000,R,1.0,0.61,0.217
TN,1000,RB,0.9,0.253,0.074
TN,1000,B,0.9,0.135,0.118
TN,1000,GB,0.9,0.07,0.342
TN,1000,G,0.9,0.068,0.352
TN,1000,GY,0.9,0.224,0.723
TN,1000,Y,0.9,0.433,0.533
TN,1000,RY,0.9,0.631,0.336
TN,1000,R,0.9,0.522,0.2
TN,1000,RB,0.8,0.274,0.108
TN,1000,B,0.8,0.149,0.163
TN,1000,GB,0.8,0.1,0.331
TN,1000,G,0.8,0.098,0.344
TN,1000,GY,0.8,0.227,0.686
TN,1000,Y,0.8,0.419,0.513
TN,1000,RY,0.8,0.584,0.349
TN,1000,R,0.8,0.465,0.198
TN,1000,RB,0.7,0.267,0.129
TN,1000,B,0.7,0.17,0.188
TN,1000,GB,0.7,0.13,0.32
