wavelength_nm,xbar,ybar,zbar
360,.0001299,.000003917,.0006061
365,.0002321,.000006965,.001086
370,.0004149,.00001239,.001946
375,.0007416,.00002202,.003486
380,.001368,.000039,.006450001
385,.002236,.000064,.01054999
390,.004243,.000120,.02005001
395,.007650,.000217,.036210
400,.014310,.000396,.06785001
405,.023190,.000640,.110200
410,.043510,.001210,.207400
415,.077630,.002180,.371300
420,.134380,.004000,.645600
425,.214770,.007300,1.0390501
430,.283900,.011600,1.385600
435,.328500,.016840,1.622960
440,.348280,.023000,1.747060
445,.348060,.029800,1.782600
450,.336200,.038000,1.772110
455,.318700,.048000,1.744100
460,.290800,.060000,1.669200
465,.251100,.073900,1.528100
470,.195360,.090980,1.287640
475,.142100,.112600,1.041900
480,.095640,.139020,.8129501
485,.05795001,.169300,.616200
490,.032010,.208020,.465180
495,.014700,.258600,.353300
500,.004900,.323000,.272000
505,.002400,.407300,.212300
510,.009300,.503000,.158200
515,.029100,.608200,.111700
520,.063270,.710000,.07824999
525,.109600,.793200,.05725001
530,.165500,.862000,.042160
535,.2257499,.9148501,.029840
540,.290400,.954000,.020300
545,.359700,.980300,.013400
550,.4334499,.9949501,.008749999
555,.5120501,1,.005749999
560,.594500,.995000,.003900
565,.678400,.978600,.002749999
570,.762100,.952000,.002100
575,.842500,.915400,.001800
580,.916300,.870000,.001650001
585,.978600,.816300,.001400
590,1.026300,.757000,.001100
595,1.056700,.694900,.001000
600,1.062200,.631000,.000800
605,1.045600,.566800,.000600
610,1.002600,.503000,.000340
615,.938400,.441200,.000240
620,.8544499,.381000,.000190
625,.751400,.321000,.000100
630,.642400,.265000,.00004999999
635,.541900,.217000,.000030
640,.447900,.175000,.000020
645,.360800,.138200,.000010
650,.283500,.107000,0
655,.218700,.081600,0
660,.164900,.061000,0
665,.121200,.044580,0
670,.087400,.032000,0
675,.063600,.023200,0
680,.046770,.017000,0
685,.032900,.011920,0
690,.022700,.008210,0
695,.015840,.005723,0
700,.01135916,.004102,0
705,.008110916,.002929,0
710,.005790346,.002091,0
715,.004109457,.001484,0
720,.002899327,.001047,0
725,.002049190,.000740,0
730,.001439971,.000520,0
735,.0009999493,.0003611,0
740,.0006900786,.0002492,0
745,.0004760213,.0001719,0
750,.0003323011,.000120,0
755,.0002348261,.0000848,0
760,.0001661505,.000060,0
765,.0001174130,.0000424,0
770,.00008307527,.000030,0
775,.00005870652,.0000212,0
780,.00004150994,.00001499,0
785,.00002935326,.0000106,0
790,.00002067383,.0000074657,0
795,.00001455977,.0000052578,0
800,.00001025398,.0000037029,0
805,.000007221456,.0000026078,0
810,.000005085868,.0000018366,0
815,.000003581652,.0000012934,0
820,.000002522525,.00000091093,0
825,.000001776509,.00000064153,0
830,.000001251141,.00000045181,0
