model,board,dataset,score,exact_input_support,mapped_points,rejected_points,continued_points
old-balanced-srgb,generation,hung_berns,,False,0,78,0
old-balanced-srgb,generation,ebner_fairchild,,False,0,70,0
old-balanced-srgb,generation,munsell,,False,0,1232,0
old-balanced-srgb,generation,xiao_unique_hues,1.7425659709829562,True,0,0,0
old-balanced-srgb,generation,osa_ucs_1974,0.2766804752219804,False,0,19,0
old-balanced-srgb,measurement,macadam1942,0.28983547084154865,False,0,300,0
old-balanced-srgb,measurement,luo_rigg_ellipses,0.27430441277709194,False,0,605,0
old-balanced-srgb,measurement,alder1982,0.30252513520957053,False,0,364,0
old-balanced-srgb,measurement,regan_1994_cvd_ellipses,0.21645248764101144,False,0,8,0
old-balanced-srgb,measurement,koenderink_2026_3d_metric_field,0.34485622209471867,True,0,0,0
old-balanced-srgb,measurement,brown_1957_12obs_ellipsoids,,False,0,396,0
old-balanced-srgb,measurement,wyszecki_fielder_1971_ellipsoids,0.32985643379075497,False,0,278,0
old-balanced-srgb,measurement,brown_macadam_1949_ellipsoids,,False,0,1045,0
old-balanced-srgb,measurement,huang_2012_cielab_ellipses,0.32518295789854046,False,0,34,0
old-balanced-srgb,measurement,berns_1991_rit_dupont_tolerance_vectors,0.39786063063283167,False,0,16,0
old-balanced-srgb,measurement,hong_2025_ellipsoids,0.28294939767648775,True,0,0,0
old-balanced-srgb,measurement,bfd,34.186051876165976,False,,,
old-balanced-srgb,measurement,leeds,30.8378777151687,True,,,
old-balanced-srgb,measurement,witt,25.86437797383993,False,,,
old-balanced-srgb,measurement,rit,34.56639070147851,False,,,
old-balanced-srgb,measurement,macadam,27.843703414168818,False,0,3,0
old-metric-srgb,generation,hung_berns,,False,0,78,0
old-metric-srgb,generation,ebner_fairchild,,False,0,70,0
old-metric-srgb,generation,munsell,,False,0,1232,0
old-metric-srgb,generation,xiao_unique_hues,1.7425659709829555,True,0,0,0
old-metric-srgb,generation,osa_ucs_1974,0.28843229254214536,False,0,19,0
old-metric-srgb,measurement,macadam1942,0.3009365236354538,False,0,300,0
old-metric-srgb,measurement,luo_rigg_ellipses,0.2720510129375516,False,0,605,0
old-metric-srgb,measurement,alder1982,0.2966863369021662,False,0,364,0
old-metric-srgb,measurement,regan_1994_cvd_ellipses,0.2204281408786613,False,0,8,0
old-metric-srgb,measurement,koenderink_2026_3d_metric_field,0.36540027414193493,True,0,0,0
old-metric-srgb,measurement,brown_1957_12obs_ellipsoids,,False,0,396,0
old-metric-srgb,measurement,wyszecki_fielder_1971_ellipsoids,0.3361163797981787,False,0,278,0
old-metric-srgb,measurement,brown_macadam_1949_ellipsoids,,False,0,1045,0
old-metric-srgb,measurement,huang_2012_cielab_ellipses,0.3212188941243553,False,0,34,0
old-metric-srgb,measurement,berns_1991_rit_dupont_tolerance_vectors,0.3433609792956876,False,0,16,0
old-metric-srgb,measurement,hong_2025_ellipsoids,0.30133417712806476,True,0,0,0
old-metric-srgb,measurement,bfd,31.449751711136432,False,,,
old-metric-srgb,measurement,leeds,27.744420682360943,True,,,
old-metric-srgb,measurement,witt,23.2210991827298,False,,,
old-metric-srgb,measurement,rit,31.387185307693493,False,,,
old-metric-srgb,measurement,macadam,29.17938148165235,False,0,3,0
balanced-srgb,generation,hung_berns,,False,0,78,0
balanced-srgb,generation,ebner_fairchild,,False,0,70,0
balanced-srgb,generation,munsell,,False,0,1232,0
balanced-srgb,generation,xiao_unique_hues,1.7425659709829562,True,0,0,0
balanced-srgb,generation,osa_ucs_1974,0.26908050182233706,False,0,19,0
balanced-srgb,measurement,macadam1942,0.28649379633900984,False,0,300,0
balanced-srgb,measurement,luo_rigg_ellipses,0.27041590348604516,False,0,605,0
balanced-srgb,measurement,alder1982,0.29560133031033614,False,0,364,0
balanced-srgb,measurement,regan_1994_cvd_ellipses,0.19843492291908185,False,0,8,0
balanced-srgb,measurement,koenderink_2026_3d_metric_field,0.3229890029987315,True,0,0,0
balanced-srgb,measurement,brown_1957_12obs_ellipsoids,,False,0,396,0
balanced-srgb,measurement,wyszecki_fielder_1971_ellipsoids,0.31685422857260603,False,0,278,0
balanced-srgb,measurement,brown_macadam_1949_ellipsoids,,False,0,1045,0
balanced-srgb,measurement,huang_2012_cielab_ellipses,0.319745961909999,False,0,34,0
balanced-srgb,measurement,berns_1991_rit_dupont_tolerance_vectors,0.35958446879333505,False,0,16,0
balanced-srgb,measurement,hong_2025_ellipsoids,0.250620320268699,True,0,0,0
balanced-srgb,measurement,bfd,31.46987186481039,False,,,
balanced-srgb,measurement,leeds,28.499638553058116,True,,,
balanced-srgb,measurement,witt,23.676903404100013,False,,,
balanced-srgb,measurement,rit,31.67890361965306,False,,,
balanced-srgb,measurement,macadam,25.98893454756521,False,0,3,0
metric-srgb,generation,hung_berns,,False,0,78,0
metric-srgb,generation,ebner_fairchild,,False,0,70,0
metric-srgb,generation,munsell,,False,0,1232,0
metric-srgb,generation,xiao_unique_hues,1.7425659709829562,True,0,0,0
metric-srgb,generation,osa_ucs_1974,0.26576762290898637,False,0,19,0
metric-srgb,measurement,macadam1942,0.28040083611038213,False,0,300,0
metric-srgb,measurement,luo_rigg_ellipses,0.2638128994783724,False,0,605,0
metric-srgb,measurement,alder1982,0.2874206043909659,False,0,364,0
metric-srgb,measurement,regan_1994_cvd_ellipses,0.19900537067624213,False,0,8,0
metric-srgb,measurement,koenderink_2026_3d_metric_field,0.3331547566900651,True,0,0,0
metric-srgb,measurement,brown_1957_12obs_ellipsoids,,False,0,396,0
metric-srgb,measurement,wyszecki_fielder_1971_ellipsoids,0.3140551091717542,False,0,278,0
metric-srgb,measurement,brown_macadam_1949_ellipsoids,,False,0,1045,0
metric-srgb,measurement,huang_2012_cielab_ellipses,0.3266595023299165,False,0,34,0
