model,board,dataset,score,exact_input_support,mapped_points,rejected_points,continued_points
parent-srgb,generation,hung_berns,,False,0,78,0
parent-srgb,generation,ebner_fairchild,,False,0,70,0
parent-srgb,generation,munsell,,False,0,1232,0
parent-srgb,generation,xiao_unique_hues,1.7425659709829548,True,0,0,0
parent-srgb,generation,osa_ucs_1974,0.26908050182233706,False,0,19,0
parent-srgb,measurement,macadam1942,0.28649379633899985,False,0,300,0
parent-srgb,measurement,luo_rigg_ellipses,0.27041590348604505,False,0,605,0
parent-srgb,measurement,alder1982,0.2956013303103356,False,0,364,0
parent-srgb,measurement,regan_1994_cvd_ellipses,0.19843492291908185,False,0,8,0
parent-srgb,measurement,koenderink_2026_3d_metric_field,0.3229890029987318,True,0,0,0
parent-srgb,measurement,brown_1957_12obs_ellipsoids,,False,0,396,0
parent-srgb,measurement,wyszecki_fielder_1971_ellipsoids,0.31685422857260603,False,0,278,0
parent-srgb,measurement,brown_macadam_1949_ellipsoids,,False,0,1045,0
parent-srgb,measurement,huang_2012_cielab_ellipses,0.31974596190999915,False,0,34,0
parent-srgb,measurement,berns_1991_rit_dupont_tolerance_vectors,0.3595844687933356,False,0,16,0
parent-srgb,measurement,hong_2025_ellipsoids,0.25062032026869996,True,0,0,0
parent-srgb,measurement,bfd,31.4698718648104,False,,,
parent-srgb,measurement,leeds,28.499638553058382,True,,,
parent-srgb,measurement,witt,23.676903404101086,False,,,
parent-srgb,measurement,rit,31.678903619652793,False,,,
parent-srgb,measurement,macadam,25.98893454756521,False,0,3,0
balanced-srgb,generation,hung_berns,,False,0,78,0
balanced-srgb,generation,ebner_fairchild,,False,0,70,0
balanced-srgb,generation,munsell,,False,0,1232,0
balanced-srgb,generation,xiao_unique_hues,1.7425659709829548,True,0,0,0
balanced-srgb,generation,osa_ucs_1974,0.27485595962527076,False,0,19,0
balanced-srgb,measurement,macadam1942,0.29545883241445076,False,0,300,0
balanced-srgb,measurement,luo_rigg_ellipses,0.2761923725876358,False,0,605,0
balanced-srgb,measurement,alder1982,0.29572164278827257,False,0,364,0
balanced-srgb,measurement,regan_1994_cvd_ellipses,0.2075037257658511,False,0,8,0
balanced-srgb,measurement,koenderink_2026_3d_metric_field,0.31851267616622664,True,0,0,0
balanced-srgb,measurement,brown_1957_12obs_ellipsoids,,False,0,396,0
balanced-srgb,measurement,wyszecki_fielder_1971_ellipsoids,0.3183646210509246,False,0,278,0
balanced-srgb,measurement,brown_macadam_1949_ellipsoids,,False,0,1045,0
balanced-srgb,measurement,huang_2012_cielab_ellipses,0.3192066528809586,False,0,34,0
