model,board,dataset,score,mapped_points,rejected_points,exact_input_support
parent-srgb,generation,hung_berns,3.731616825742521,78,0,False
parent-srgb,generation,ebner_fairchild,2.2426488468207726,70,0,False
parent-srgb,generation,munsell,4.1165434793525035,1232,0,False
parent-srgb,generation,xiao_unique_hues,1.7425659709829562,0,0,True
parent-srgb,generation,osa_ucs_1974,0.26908050182233706,19,0,False
parent-srgb,measurement,macadam1942,0.32542281182994887,300,0,False
parent-srgb,measurement,luo_rigg_ellipses,0.3007538189804692,605,0,False
parent-srgb,measurement,alder1982,0.32318507340111274,364,0,False
parent-srgb,measurement,regan_1994_cvd_ellipses,0.20601752342653828,8,0,False
parent-srgb,measurement,koenderink_2026_3d_metric_field,0.3229890029987315,0,0,True
parent-srgb,measurement,brown_1957_12obs_ellipsoids,0.4800946090735539,396,0,False
parent-srgb,measurement,wyszecki_fielder_1971_ellipsoids,0.33152651154827406,278,0,False
parent-srgb,measurement,brown_macadam_1949_ellipsoids,0.46786185876355024,1045,0,False
parent-srgb,measurement,huang_2012_cielab_ellipses,0.3383868078820722,34,0,False
parent-srgb,measurement,berns_1991_rit_dupont_tolerance_vectors,0.36609211872010633,16,0,False
parent-srgb,measurement,hong_2025_ellipsoids,0.250620320268699,0,0,True
parent-srgb,measurement,bfd,39.05046649229356,843,0,False
parent-srgb,measurement,leeds,28.499638553058116,0,0,True
parent-srgb,measurement,witt,24.193517783803756,4,0,False
parent-srgb,measurement,rit,33.56226538298085,51,0,False
parent-srgb,measurement,macadam,26.94101009456307,3,0,False
balanced-srgb,generation,hung_berns,3.7316168257425204,78,0,False
balanced-srgb,generation,ebner_fairchild,2.2426488468207735,70,0,False
balanced-srgb,generation,munsell,4.116543479352504,1232,0,False
balanced-srgb,generation,xiao_unique_hues,1.7425659709829562,0,0,True
balanced-srgb,generation,osa_ucs_1974,0.27485595962527076,19,0,False
balanced-srgb,measurement,macadam1942,0.33027415324361903,300,0,False
balanced-srgb,measurement,luo_rigg_ellipses,0.3049798927389679,605,0,False
balanced-srgb,measurement,alder1982,0.32143041779808607,364,0,False
balanced-srgb,measurement,regan_1994_cvd_ellipses,0.21437983456022866,8,0,False
balanced-srgb,measurement,koenderink_2026_3d_metric_field,0.3185126761662263,0,0,True
balanced-srgb,measurement,brown_1957_12obs_ellipsoids,0.48106302477222407,396,0,False
balanced-srgb,measurement,wyszecki_fielder_1971_ellipsoids,0.3320460007380996,278,0,False
balanced-srgb,measurement,brown_macadam_1949_ellipsoids,0.46810179557906456,1045,0,False
balanced-srgb,measurement,huang_2012_cielab_ellipses,0.33648349995331944,34,0,False
balanced-srgb,measurement,berns_1991_rit_dupont_tolerance_vectors,0.3620351385059927,16,0,False
balanced-srgb,measurement,hong_2025_ellipsoids,0.2624716476412355,0,0,True
balanced-srgb,measurement,bfd,39.35056009172013,843,0,False
balanced-srgb,measurement,leeds,27.834159661368695,0,0,True
balanced-srgb,measurement,witt,23.908647631812578,4,0,False
balanced-srgb,measurement,rit,33.64973923680354,51,0,False
balanced-srgb,measurement,macadam,27.933297188709606,3,0,False
gentle-srgb,generation,hung_berns,3.7316168257425204,78,0,False
gentle-srgb,generation,ebner_fairchild,2.242648846820773,70,0,False
gentle-srgb,generation,munsell,4.116543479352504,1232,0,False
gentle-srgb,generation,xiao_unique_hues,1.7425659709829548,0,0,True
gentle-srgb,generation,osa_ucs_1974,0.2725279994681716,19,0,False
gentle-srgb,measurement,macadam1942,0.32575393702797506,300,0,False
gentle-srgb,measurement,luo_rigg_ellipses,0.30081057891793495,605,0,False
gentle-srgb,measurement,alder1982,0.3173620911922902,364,0,False
gentle-srgb,measurement,regan_1994_cvd_ellipses,0.21870817251225977,8,0,False
gentle-srgb,measurement,koenderink_2026_3d_metric_field,0.31871947404633705,0,0,True
gentle-srgb,measurement,brown_1957_12obs_ellipsoids,0.4812747308046965,396,0,False
gentle-srgb,measurement,wyszecki_fielder_1971_ellipsoids,0.3293610527184786,278,0,False
gentle-srgb,measurement,brown_macadam_1949_ellipsoids,0.4685135006577945,1045,0,False
gentle-srgb,measurement,huang_2012_cielab_ellipses,0.33739304239840495,34,0,False
gentle-srgb,measurement,berns_1991_rit_dupont_tolerance_vectors,0.3575720127912327,16,0,False
gentle-srgb,measurement,hong_2025_ellipsoids,0.2568786252612657,0,0,True
gentle-srgb,measurement,bfd,39.174792457366,843,0,False
gentle-srgb,measurement,leeds,27.905358938271192,0,0,True
gentle-srgb,measurement,witt,23.806139903610514,4,0,False
gentle-srgb,measurement,rit,33.639971682114634,51,0,False
gentle-srgb,measurement,macadam,27.979313027163194,3,0,False
parent-full,generation,hung_berns,3.3979491772174533,5,0,False
parent-full,generation,ebner_fairchild,2.242868894705369,0,0,True
parent-full,generation,munsell,3.8162200642434128,0,0,True
parent-full,generation,xiao_unique_hues,1.742565970982971,0,0,True
parent-full,generation,osa_ucs_1974,0.2756537452617247,0,0,True
parent-full,measurement,macadam1942,0.3278290531012701,0,0,True
parent-full,measurement,luo_rigg_ellipses,0.308850870715678,0,0,True
parent-full,measurement,alder1982,0.3190094829154314,0,0,True
parent-full,measurement,regan_1994_cvd_ellipses,0.2244858288578872,0,0,True
parent-full,measurement,koenderink_2026_3d_metric_field,0.36810204693093146,0,0,True
parent-full,measurement,brown_1957_12obs_ellipsoids,0.3613319180244159,191,0,False
parent-full,measurement,wyszecki_fielder_1971_ellipsoids,0.3181436763882524,41,0,False
parent-full,measurement,brown_macadam_1949_ellipsoids,0.34930343283249443,378,0,False
parent-full,measurement,huang_2012_cielab_ellipses,0.3099388360942581,0,0,True
parent-full,measurement,berns_1991_rit_dupont_tolerance_vectors,0.33673002377096045,0,0,True
parent-full,measurement,hong_2025_ellipsoids,0.30280707102308035,0,0,True
parent-full,measurement,bfd,32.885875063502866,0,0,True
parent-full,measurement,leeds,28.063204410211583,0,0,True
parent-full,measurement,witt,23.72811591431747,0,0,True
parent-full,measurement,rit,29.976731650448556,0,0,True
parent-full,measurement,macadam,30.79053612552261,0,0,True
balanced-full,generation,hung_berns,3.3979491772174533,5,0,False
balanced-full,generation,ebner_fairchild,2.2428688947053694,0,0,True
balanced-full,generation,munsell,3.8162200642434123,0,0,True
balanced-full,generation,xiao_unique_hues,1.7425659709829704,0,0,True
balanced-full,generation,osa_ucs_1974,0.2901087147421342,0,0,True
balanced-full,measurement,macadam1942,0.3467139328865956,0,0,True
balanced-full,measurement,luo_rigg_ellipses,0.32477159895843155,0,0,True
balanced-full,measurement,alder1982,0.3282897193707388,0,0,True
balanced-full,measurement,regan_1994_cvd_ellipses,0.23163498092495668,0,0,True
balanced-full,measurement,koenderink_2026_3d_metric_field,0.3864784044695207,0,0,True
balanced-full,measurement,brown_1957_12obs_ellipsoids,0.3528316312707606,191,0,False
balanced-full,measurement,wyszecki_fielder_1971_ellipsoids,0.325616800702374,41,0,False
balanced-full,measurement,brown_macadam_1949_ellipsoids,0.34331345002163455,378,0,False
balanced-full,measurement,huang_2012_cielab_ellipses,0.30952184838015695,0,0,True
balanced-full,measurement,berns_1991_rit_dupont_tolerance_vectors,0.34286556047979416,0,0,True
