model,board,dataset,score,exact_input_support,mapped_points,rejected_points,continued_points
baseline-srgb-300-reject,generation,hung_berns,,False,0,78,0
baseline-srgb-300-reject,generation,ebner_fairchild,,False,0,70,0
baseline-srgb-300-reject,generation,munsell,,False,0,1232,0
baseline-srgb-300-reject,generation,xiao_unique_hues,1.7425659709829548,True,0,0,0
baseline-srgb-300-reject,generation,osa_ucs_1974,0.23667107830901032,False,0,19,0
baseline-srgb-300-reject,measurement,macadam1942,0.3124384532774108,False,0,300,0
baseline-srgb-300-reject,measurement,luo_rigg_ellipses,0.24855820897308517,False,0,605,0
baseline-srgb-300-reject,measurement,alder1982,0.24281497203942365,False,0,364,0
baseline-srgb-300-reject,measurement,regan_1994_cvd_ellipses,0.25357869869305605,False,0,8,0
baseline-srgb-300-reject,measurement,koenderink_2026_3d_metric_field,0.33215090576871487,True,0,0,0
baseline-srgb-300-reject,measurement,brown_1957_12obs_ellipsoids,,False,0,396,0
baseline-srgb-300-reject,measurement,wyszecki_fielder_1971_ellipsoids,0.30560815347919223,False,0,278,0
baseline-srgb-300-reject,measurement,brown_macadam_1949_ellipsoids,,False,0,1045,0
baseline-srgb-300-reject,measurement,huang_2012_cielab_ellipses,0.30188301005443463,False,0,34,0
baseline-srgb-300-reject,measurement,berns_1991_rit_dupont_tolerance_vectors,0.33701366547602385,False,0,16,0
baseline-srgb-300-reject,measurement,hong_2025_ellipsoids,0.24162228382509732,True,0,0,0
baseline-srgb-300-reject,measurement,bfd,29.046938430418912,False,,,
baseline-srgb-300-reject,measurement,leeds,26.483362597816328,True,,,
baseline-srgb-300-reject,measurement,witt,24.689222730090258,False,,,
baseline-srgb-300-reject,measurement,rit,28.476497152413003,False,,,
baseline-srgb-300-reject,measurement,macadam,25.63959401935666,False,0,3,0
refit-srgb-300-reject,generation,hung_berns,,False,0,78,0
refit-srgb-300-reject,generation,ebner_fairchild,,False,0,70,0
refit-srgb-300-reject,generation,munsell,,False,0,1232,0
refit-srgb-300-reject,generation,xiao_unique_hues,1.7425659709829548,True,0,0,0
refit-srgb-300-reject,generation,osa_ucs_1974,0.25147313372372726,False,0,19,0
refit-srgb-300-reject,measurement,macadam1942,0.2710390341809151,False,0,300,0
refit-srgb-300-reject,measurement,luo_rigg_ellipses,0.24298476966904253,False,0,605,0
refit-srgb-300-reject,measurement,alder1982,0.26138469110787566,False,0,364,0
refit-srgb-300-reject,measurement,regan_1994_cvd_ellipses,0.18801742105870295,False,0,8,0
refit-srgb-300-reject,measurement,koenderink_2026_3d_metric_field,0.3359466849456233,True,0,0,0
refit-srgb-300-reject,measurement,brown_1957_12obs_ellipsoids,,False,0,396,0
refit-srgb-300-reject,measurement,wyszecki_fielder_1971_ellipsoids,0.2829208592716034,False,0,278,0
refit-srgb-300-reject,measurement,brown_macadam_1949_ellipsoids,,False,0,1045,0
refit-srgb-300-reject,measurement,huang_2012_cielab_ellipses,0.309925054131158,False,0,34,0
refit-srgb-300-reject,measurement,berns_1991_rit_dupont_tolerance_vectors,0.33891788458996114,False,0,16,0
refit-srgb-300-reject,measurement,hong_2025_ellipsoids,0.2652941226895398,True,0,0,0
refit-srgb-300-reject,measurement,bfd,28.223624101431703,False,,,
refit-srgb-300-reject,measurement,leeds,25.821341540870463,True,,,
refit-srgb-300-reject,measurement,witt,21.060954323931828,False,,,
refit-srgb-300-reject,measurement,rit,26.390618946571198,False,,,
refit-srgb-300-reject,measurement,macadam,25.734213442271198,False,0,3,0
metric-srgb-300-reject,generation,hung_berns,,False,0,78,0
metric-srgb-300-reject,generation,ebner_fairchild,,False,0,70,0
metric-srgb-300-reject,generation,munsell,,False,0,1232,0
metric-srgb-300-reject,generation,xiao_unique_hues,1.7425659709829548,True,0,0,0
metric-srgb-300-reject,generation,osa_ucs_1974,0.24138621590911677,False,0,19,0
metric-srgb-300-reject,measurement,macadam1942,0.2624758699866984,False,0,300,0
metric-srgb-300-reject,measurement,luo_rigg_ellipses,0.2556648066367217,False,0,605,0
metric-srgb-300-reject,measurement,alder1982,0.261134353766834,False,0,364,0
metric-srgb-300-reject,measurement,regan_1994_cvd_ellipses,0.2016008983041069,False,0,8,0
metric-srgb-300-reject,measurement,koenderink_2026_3d_metric_field,0.34532812896873555,True,0,0,0
metric-srgb-300-reject,measurement,brown_1957_12obs_ellipsoids,,False,0,396,0
metric-srgb-300-reject,measurement,wyszecki_fielder_1971_ellipsoids,0.281397228912551,False,0,278,0
metric-srgb-300-reject,measurement,brown_macadam_1949_ellipsoids,,False,0,1045,0
metric-srgb-300-reject,measurement,huang_2012_cielab_ellipses,0.3029668455532016,False,0,34,0
metric-srgb-300-reject,measurement,berns_1991_rit_dupont_tolerance_vectors,0.3132325536168502,False,0,16,0
metric-srgb-300-reject,measurement,hong_2025_ellipsoids,0.26362792918090794,True,0,0,0
metric-srgb-300-reject,measurement,bfd,27.496118434558625,False,,,
metric-srgb-300-reject,measurement,leeds,24.11751465950114,True,,,
metric-srgb-300-reject,measurement,witt,20.84196621350096,False,,,
metric-srgb-300-reject,measurement,rit,25.205027354406056,False,,,
metric-srgb-300-reject,measurement,macadam,27.924979018412532,False,0,3,0
refit-srgb-100-reject,generation,hung_berns,,False,0,78,0
refit-srgb-100-reject,generation,ebner_fairchild,,False,0,70,0
refit-srgb-100-reject,generation,munsell,,False,0,1232,0
refit-srgb-100-reject,generation,xiao_unique_hues,1.7425659709829548,True,0,0,0
refit-srgb-100-reject,generation,osa_ucs_1974,0.25147313372372726,False,0,19,0
refit-srgb-100-reject,measurement,macadam1942,0.2710390341809151,False,0,300,0
refit-srgb-100-reject,measurement,luo_rigg_ellipses,0.24298476966904253,False,0,605,0
refit-srgb-100-reject,measurement,alder1982,0.26138469110787566,False,0,364,0
refit-srgb-100-reject,measurement,regan_1994_cvd_ellipses,0.18801742105870295,False,0,8,0
refit-srgb-100-reject,measurement,koenderink_2026_3d_metric_field,0.3359466849456233,True,0,0,0
refit-srgb-100-reject,measurement,brown_1957_12obs_ellipsoids,,False,0,396,0
