model,board,dataset,score,exact_input_support,mapped_points,rejected_points,continued_points
legacy-parent-full-300-reject,generation,hung_berns,,False,0,18,0
legacy-parent-full-300-reject,generation,ebner_fairchild,2.24286889470537,True,0,0,0
legacy-parent-full-300-reject,generation,munsell,3.81622006424341,True,0,0,0
legacy-parent-full-300-reject,generation,xiao_unique_hues,1.7425659709829753,True,0,0,0
legacy-parent-full-300-reject,generation,osa_ucs_1974,0.3093228921780851,True,0,0,0
legacy-parent-full-300-reject,measurement,macadam1942,0.3446324542915477,False,0,36,0
legacy-parent-full-300-reject,measurement,luo_rigg_ellipses,0.2879025530594903,False,0,3,0
legacy-parent-full-300-reject,measurement,alder1982,0.31405518458953663,False,0,35,0
legacy-parent-full-300-reject,measurement,regan_1994_cvd_ellipses,0.30337111239527553,True,0,0,0
legacy-parent-full-300-reject,measurement,koenderink_2026_3d_metric_field,0.38934661506492113,True,0,0,0
legacy-parent-full-300-reject,measurement,brown_1957_12obs_ellipsoids,,False,0,241,0
legacy-parent-full-300-reject,measurement,wyszecki_fielder_1971_ellipsoids,0.36910468506227695,False,0,41,0
legacy-parent-full-300-reject,measurement,brown_macadam_1949_ellipsoids,0.36752793237347764,False,0,566,0
legacy-parent-full-300-reject,measurement,huang_2012_cielab_ellipses,0.29134684908671565,True,0,0,0
legacy-parent-full-300-reject,measurement,berns_1991_rit_dupont_tolerance_vectors,0.40073857930860746,True,0,0,0
legacy-parent-full-300-reject,measurement,hong_2025_ellipsoids,0.28380910089966876,True,0,0,0
legacy-parent-full-300-reject,measurement,bfd,29.899815632066996,True,,,
legacy-parent-full-300-reject,measurement,leeds,27.364161992775966,True,,,
legacy-parent-full-300-reject,measurement,witt,23.520949777440972,True,,,
legacy-parent-full-300-reject,measurement,rit,30.50370701600189,True,,,
legacy-parent-full-300-reject,measurement,macadam,32.806408798480476,True,0,0,0
legacy-candidate-full-300-reject,generation,hung_berns,,False,0,18,0
legacy-candidate-full-300-reject,generation,ebner_fairchild,2.2428688947053694,True,0,0,0
legacy-candidate-full-300-reject,generation,munsell,3.816220064243411,True,0,0,0
legacy-candidate-full-300-reject,generation,xiao_unique_hues,1.7425659709829753,True,0,0,0
legacy-candidate-full-300-reject,generation,osa_ucs_1974,0.3008509363391113,True,0,0,0
legacy-candidate-full-300-reject,measurement,macadam1942,0.3227561696199788,False,0,36,0
legacy-candidate-full-300-reject,measurement,luo_rigg_ellipses,0.2728015226817285,False,0,3,0
legacy-candidate-full-300-reject,measurement,alder1982,0.3138120409633611,False,0,35,0
legacy-candidate-full-300-reject,measurement,regan_1994_cvd_ellipses,0.25307938867931934,True,0,0,0
legacy-candidate-full-300-reject,measurement,koenderink_2026_3d_metric_field,0.367715111031021,True,0,0,0
legacy-candidate-full-300-reject,measurement,brown_1957_12obs_ellipsoids,,False,0,241,0
legacy-candidate-full-300-reject,measurement,wyszecki_fielder_1971_ellipsoids,0.35681953885358014,False,0,41,0
legacy-candidate-full-300-reject,measurement,brown_macadam_1949_ellipsoids,0.3330521041506166,False,0,566,0
legacy-candidate-full-300-reject,measurement,huang_2012_cielab_ellipses,0.30629520420502787,True,0,0,0
legacy-candidate-full-300-reject,measurement,berns_1991_rit_dupont_tolerance_vectors,0.3945210305902574,True,0,0,0
legacy-candidate-full-300-reject,measurement,hong_2025_ellipsoids,0.2805307012631337,True,0,0,0
legacy-candidate-full-300-reject,measurement,bfd,29.87635127314482,True,,,
legacy-candidate-full-300-reject,measurement,leeds,27.47985621324756,True,,,
legacy-candidate-full-300-reject,measurement,witt,22.991590920955463,True,,,
legacy-candidate-full-300-reject,measurement,rit,30.205857175678176,True,,,
legacy-candidate-full-300-reject,measurement,macadam,31.680924443232445,True,0,0,0
relative-parent-full-300-clip,generation,hung_berns,3.3979491772174533,False,5,0,0
relative-parent-full-300-clip,generation,ebner_fairchild,2.2428688947053685,True,0,0,0
relative-parent-full-300-clip,generation,munsell,3.8162200642434123,True,0,0,0
relative-parent-full-300-clip,generation,xiao_unique_hues,1.7425659709829704,True,0,0,0
relative-parent-full-300-clip,generation,osa_ucs_1974,0.3468118645388673,True,0,0,0
relative-parent-full-300-clip,measurement,macadam1942,0.3360058528555518,True,0,0,25
relative-parent-full-300-clip,measurement,luo_rigg_ellipses,0.29975101461612846,True,0,0,0
relative-parent-full-300-clip,measurement,alder1982,0.3385710639723081,True,0,0,15
relative-parent-full-300-clip,measurement,regan_1994_cvd_ellipses,0.3324639152121265,True,0,0,0
relative-parent-full-300-clip,measurement,koenderink_2026_3d_metric_field,0.39878169316638057,True,0,0,0
relative-parent-full-300-clip,measurement,brown_1957_12obs_ellipsoids,0.39032000061042893,False,191,0,80
relative-parent-full-300-clip,measurement,wyszecki_fielder_1971_ellipsoids,0.3756699025122807,False,41,0,0
relative-parent-full-300-clip,measurement,brown_macadam_1949_ellipsoids,0.3726617697461771,False,378,0,187
relative-parent-full-300-clip,measurement,huang_2012_cielab_ellipses,0.32812874646135115,True,0,0,0
relative-parent-full-300-clip,measurement,berns_1991_rit_dupont_tolerance_vectors,0.42778151286771937,True,0,0,0
relative-parent-full-300-clip,measurement,hong_2025_ellipsoids,0.31749724302032645,True,0,0,0
relative-parent-full-300-clip,measurement,bfd,39.297805513964654,True,,,
relative-parent-full-300-clip,measurement,leeds,36.79500075987763,True,,,
relative-parent-full-300-clip,measurement,witt,31.369153908673077,True,,,
relative-parent-full-300-clip,measurement,rit,37.327361496045405,True,,,
relative-parent-full-300-clip,measurement,macadam,38.04103853320469,True,0,0,0
relative-candidate-full-300-clip,generation,hung_berns,3.3979491772174533,False,5,0,0
relative-candidate-full-300-clip,generation,ebner_fairchild,2.242868894705369,True,0,0,0
relative-candidate-full-300-clip,generation,munsell,3.8162200642434128,True,0,0,0
relative-candidate-full-300-clip,generation,xiao_unique_hues,1.7425659709829704,True,0,0,0
relative-candidate-full-300-clip,generation,osa_ucs_1974,0.3349801497795754,True,0,0,0
relative-candidate-full-300-clip,measurement,macadam1942,0.3578523847402941,True,0,0,25
relative-candidate-full-300-clip,measurement,luo_rigg_ellipses,0.29229300012959775,True,0,0,0
relative-candidate-full-300-clip,measurement,alder1982,0.32532714464750784,True,0,0,15
relative-candidate-full-300-clip,measurement,regan_1994_cvd_ellipses,0.3013230656846006,True,0,0,0
relative-candidate-full-300-clip,measurement,koenderink_2026_3d_metric_field,0.38929701948349477,True,0,0,0
relative-candidate-full-300-clip,measurement,brown_1957_12obs_ellipsoids,0.41011660155679025,False,191,0,80
relative-candidate-full-300-clip,measurement,wyszecki_fielder_1971_ellipsoids,0.3627095415822654,False,41,0,0
relative-candidate-full-300-clip,measurement,brown_macadam_1949_ellipsoids,0.3724213267973987,False,378,0,187
relative-candidate-full-300-clip,measurement,huang_2012_cielab_ellipses,0.330893695374185,True,0,0,0
relative-candidate-full-300-clip,measurement,berns_1991_rit_dupont_tolerance_vectors,0.41882605533312417,True,0,0,0
relative-candidate-full-300-clip,measurement,hong_2025_ellipsoids,0.30102151176924336,True,0,0,0
relative-candidate-full-300-clip,measurement,bfd,40.195462791681685,True,,,
relative-candidate-full-300-clip,measurement,leeds,34.71062475160731,True,,,
relative-candidate-full-300-clip,measurement,witt,27.310520288790848,True,,,
relative-candidate-full-300-clip,measurement,rit,37.01065839782467,True,,,
relative-candidate-full-300-clip,measurement,macadam,36.94111952409235,True,0,0,0
relative-candidate-full-100-clip,generation,hung_berns,3.3979491772174533,False,5,0,0
relative-candidate-full-100-clip,generation,ebner_fairchild,2.242868894705369,True,0,0,0
relative-candidate-full-100-clip,generation,munsell,3.8162200642434128,True,0,0,0
