model,board,dataset,score,exact_input_support,mapped_points,rejected_points,continued_points
baseline-full-300-clip,generation,hung_berns,3.3979491772174533,False,5,0,0
baseline-full-300-clip,generation,ebner_fairchild,2.242868894705369,True,0,0,0
baseline-full-300-clip,generation,munsell,3.8162200642434128,True,0,0,0
baseline-full-300-clip,generation,xiao_unique_hues,1.7425659709829704,True,0,0,0
baseline-full-300-clip,generation,osa_ucs_1974,0.3349801497795754,True,0,0,0
baseline-full-300-clip,measurement,macadam1942,0.3578523847402941,True,0,0,25
baseline-full-300-clip,measurement,luo_rigg_ellipses,0.29229300012959775,True,0,0,0
baseline-full-300-clip,measurement,alder1982,0.32532714464750784,True,0,0,15
baseline-full-300-clip,measurement,regan_1994_cvd_ellipses,0.3013230656846006,True,0,0,0
baseline-full-300-clip,measurement,koenderink_2026_3d_metric_field,0.38929701948349477,True,0,0,0
baseline-full-300-clip,measurement,brown_1957_12obs_ellipsoids,0.41011660155679025,False,191,0,80
baseline-full-300-clip,measurement,wyszecki_fielder_1971_ellipsoids,0.3627095415822654,False,41,0,0
baseline-full-300-clip,measurement,brown_macadam_1949_ellipsoids,0.3724213267973987,False,378,0,187
baseline-full-300-clip,measurement,huang_2012_cielab_ellipses,0.330893695374185,True,0,0,0
baseline-full-300-clip,measurement,berns_1991_rit_dupont_tolerance_vectors,0.41882605533312417,True,0,0,0
baseline-full-300-clip,measurement,hong_2025_ellipsoids,0.30102151176924336,True,0,0,0
baseline-full-300-clip,measurement,bfd,40.195462791681685,True,,,
baseline-full-300-clip,measurement,leeds,34.71062475160731,True,,,
baseline-full-300-clip,measurement,witt,27.310520288790848,True,,,
baseline-full-300-clip,measurement,rit,37.01065839782467,True,,,
baseline-full-300-clip,measurement,macadam,36.94111952409235,True,0,0,0
refit-full-300-clip,generation,hung_berns,3.3979491772174533,False,5,0,0
refit-full-300-clip,generation,ebner_fairchild,2.242868894705369,True,0,0,0
refit-full-300-clip,generation,munsell,3.8162200642434128,True,0,0,0
