model,board,dataset,score,exact_input_support,mapped_points,rejected_points,continued_points
old-balanced-srgb,generation,hung_berns,,False,0,78,0
old-balanced-srgb,generation,ebner_fairchild,,False,0,70,0
old-balanced-srgb,generation,munsell,,False,0,1232,0
old-balanced-srgb,generation,xiao_unique_hues,1.7425659709829548,True,0,0,0
old-balanced-srgb,generation,osa_ucs_1974,0.25147313372372726,False,0,19,0
old-balanced-srgb,measurement,macadam1942,0.2710390341809151,False,0,300,0
old-balanced-srgb,measurement,luo_rigg_ellipses,0.24298476966904253,False,0,605,0
old-balanced-srgb,measurement,alder1982,0.26138469110787566,False,0,364,0
old-balanced-srgb,measurement,regan_1994_cvd_ellipses,0.18801742105870295,False,0,8,0
old-balanced-srgb,measurement,koenderink_2026_3d_metric_field,0.3359466849456233,True,0,0,0
old-balanced-srgb,measurement,brown_1957_12obs_ellipsoids,,False,0,396,0
old-balanced-srgb,measurement,wyszecki_fielder_1971_ellipsoids,0.2829208592716034,False,0,278,0
old-balanced-srgb,measurement,brown_macadam_1949_ellipsoids,,False,0,1045,0
old-balanced-srgb,measurement,huang_2012_cielab_ellipses,0.309925054131158,False,0,34,0
old-balanced-srgb,measurement,berns_1991_rit_dupont_tolerance_vectors,0.33891788458996114,False,0,16,0
old-balanced-srgb,measurement,hong_2025_ellipsoids,0.2652941226895398,True,0,0,0
old-balanced-srgb,measurement,bfd,28.223624101431703,False,,,
old-balanced-srgb,measurement,leeds,25.821341540870463,True,,,
old-balanced-srgb,measurement,witt,21.060954323931828,False,,,
old-balanced-srgb,measurement,rit,26.390618946571198,False,,,
old-balanced-srgb,measurement,macadam,25.734213442271198,False,0,3,0
balanced-srgb,generation,hung_berns,,False,0,78,0
balanced-srgb,generation,ebner_fairchild,,False,0,70,0
balanced-srgb,generation,munsell,,False,0,1232,0
balanced-srgb,generation,xiao_unique_hues,1.7425659709829548,True,0,0,0
balanced-srgb,generation,osa_ucs_1974,0.2766804752219804,False,0,19,0
balanced-srgb,measurement,macadam1942,0.2898354708415292,False,0,300,0
balanced-srgb,measurement,luo_rigg_ellipses,0.27430441277709194,False,0,605,0
balanced-srgb,measurement,alder1982,0.30252513520957003,False,0,364,0
balanced-srgb,measurement,regan_1994_cvd_ellipses,0.21645248764101144,False,0,8,0
balanced-srgb,measurement,koenderink_2026_3d_metric_field,0.3448562220947186,True,0,0,0
balanced-srgb,measurement,brown_1957_12obs_ellipsoids,,False,0,396,0
balanced-srgb,measurement,wyszecki_fielder_1971_ellipsoids,0.32985643379075485,False,0,278,0
balanced-srgb,measurement,brown_macadam_1949_ellipsoids,,False,0,1045,0
balanced-srgb,measurement,huang_2012_cielab_ellipses,0.32518295789854146,False,0,34,0
balanced-srgb,measurement,berns_1991_rit_dupont_tolerance_vectors,0.3978606306328322,False,0,16,0
balanced-srgb,measurement,hong_2025_ellipsoids,0.28294939767648775,True,0,0,0
balanced-srgb,measurement,bfd,34.18605187616583,False,,,
balanced-srgb,measurement,leeds,30.837877715168826,True,,,
balanced-srgb,measurement,witt,25.864377973840764,False,,,
balanced-srgb,measurement,rit,34.56639070147851,False,,,
balanced-srgb,measurement,macadam,27.843703414168818,False,0,3,0
metric-srgb,generation,hung_berns,,False,0,78,0
metric-srgb,generation,ebner_fairchild,,False,0,70,0
metric-srgb,generation,munsell,,False,0,1232,0
metric-srgb,generation,xiao_unique_hues,1.7425659709829548,True,0,0,0
metric-srgb,generation,osa_ucs_1974,0.28843229254214536,False,0,19,0
metric-srgb,measurement,macadam1942,0.30093652363545487,False,0,300,0
metric-srgb,measurement,luo_rigg_ellipses,0.27205101293755063,False,0,605,0
metric-srgb,measurement,alder1982,0.2966863369021651,False,0,364,0
metric-srgb,measurement,regan_1994_cvd_ellipses,0.2204281408786613,False,0,8,0
metric-srgb,measurement,koenderink_2026_3d_metric_field,0.36540027414193527,True,0,0,0
metric-srgb,measurement,brown_1957_12obs_ellipsoids,,False,0,396,0
metric-srgb,measurement,wyszecki_fielder_1971_ellipsoids,0.3361163797981787,False,0,278,0
metric-srgb,measurement,brown_macadam_1949_ellipsoids,,False,0,1045,0
metric-srgb,measurement,huang_2012_cielab_ellipses,0.3212188941243553,False,0,34,0
metric-srgb,measurement,berns_1991_rit_dupont_tolerance_vectors,0.3433609792956871,False,0,16,0
metric-srgb,measurement,hong_2025_ellipsoids,0.30133417712806443,True,0,0,0
metric-srgb,measurement,bfd,31.449751711136454,False,,,
metric-srgb,measurement,leeds,27.744420682361486,True,,,
metric-srgb,measurement,witt,23.221099182731102,False,,,
metric-srgb,measurement,rit,31.38718530769326,False,,,
metric-srgb,measurement,macadam,29.17938148165235,False,0,3,0
old-balanced-full,generation,hung_berns,,False,0,5,0
old-balanced-full,generation,ebner_fairchild,2.242868894705369,True,0,0,0
old-balanced-full,generation,munsell,3.8162200642434194,True,0,0,0
old-balanced-full,generation,xiao_unique_hues,1.7425659709829697,True,0,0,0
old-balanced-full,generation,osa_ucs_1974,0.25263014442747816,True,0,0,0
old-balanced-full,measurement,macadam1942,0.27575516872868966,True,0,0,25
old-balanced-full,measurement,luo_rigg_ellipses,0.25036983513325334,True,0,0,0
old-balanced-full,measurement,alder1982,0.3011255068607157,True,0,0,15
old-balanced-full,measurement,regan_1994_cvd_ellipses,0.2270570010583695,True,0,0,0
old-balanced-full,measurement,koenderink_2026_3d_metric_field,0.33443189963949765,True,0,0,0
old-balanced-full,measurement,brown_1957_12obs_ellipsoids,0.3306791473298211,False,0,191,29
old-balanced-full,measurement,wyszecki_fielder_1971_ellipsoids,0.2861655339157035,False,0,41,0
old-balanced-full,measurement,brown_macadam_1949_ellipsoids,0.3078930810023531,False,0,378,138
old-balanced-full,measurement,huang_2012_cielab_ellipses,0.3072149572394169,True,0,0,0
